seq,group,name,capture_status,match,old_system_path,old_menu_name,old_link,config_id,config_type,main_table,from_table,order_info,visible_columns,hidden_columns,search_fields,add_config_id,show_add_config_id,alignment_note
42,发票税务,进项上报,captured,exact,税务/进项/进项上报,进项上报,LowCode/Form/FormList?ConfigId=027f61bad00a4651a45dd27f681731e0,027f61bad00a4651a45dd27f681731e0,List,C_JXXP_ZYFPJJD,"C_JXXP_ZYFPJJD_CB,C_JXXP_ZYFPJJD_CB_CB",Pid desc,状态(DJZTText); 推送结果(TSJG); 金蝶单据编号(OTHER_SYSTEM_CODE); 发票公司类型(D_SCBSJS_FPGSLX$C_JXXP_ZYFPJJD_CB); 单据编号(DJBH); 项目名称(XMMC); 发票开具日期(KPRQ$C_JXXP_ZYFPJJD_CB); 开票单位(GYSMC$C_JXXP_ZYFPJJD_CB); 发票提供人/单位(FPTGF$C_JXXP_ZYFPJJD_CB); 价税合计(HJJE$C_JXXP_ZYFPJJD_CB); 税额(JXSE$C_JXXP_ZYFPJJD_CB); 不含税金额(JE_NO$C_JXXP_ZYFPJJD_CB); 发票号码(FPHM$C_JXXP_ZYFPJJD_CB); 发票类型(FPLX$C_JXXP_ZYFPJJD_CB); 附件(f_FJ); 录入人(LRR); 发票备注(D_SCBSJS_FPBZ$C_JXXP_ZYFPJJD_CB); 录入时间(LRSJ),是否核算(SFHS$C_JXXP_ZYFPJJD_CB); 发票公司类型(D_SCBSJS_FPGSLX); 发票提供人(FPTGF$C_JXXP_ZYFPJJD_CB); 开票单位(KPDW$C_JXXP_ZYFPJJD_CB); 是否报销生成(SFBXFP$C_JXXP_ZYFPJJD_CB); 发票类型(FPLX); 发票类型(FPLX$C_JXXP_ZYFPJJD_CB); 单据日期(DJRQ); 是否本单为报销发票（0：为不是报销发票 未勾选，1：为是报销发票 勾选）(SFBXFP); 不含税金额(JE_NO$C_JXXP_ZYFPJJD_CB); 税额(JXSE$C_JXXP_ZYFPJJD_CB); 合计金额(HJJE$C_JXXP_ZYFPJJD_CB); 税率(SL$C_JXXP_ZYFPJJD_CB); 备注(BZ$C_JXXP_ZYFPJJD_CB); 成本分类(CBFL); 备注(BZ); 快递公司(KDGS); 发票代码(FPDM$C_JXXP_ZYFPJJD_CB); 发票合计(FPHJFS); 关联合同(GLHT_COUNT$C_JXXP_ZYFPJJD_CB); 挂靠人(GKR); 发票开具日期(KPRQ$C_JXXP_ZYFPJJD_CB); 明细备注(BZ$C_JXXP_ZYFPJJD_CB); 发票代码(FPDM$C_JXXP_ZYFPJJD_CB); 合同编号(HTBH); 收税成本(GPCB$C_JXXP_ZYFPJJD_CB); 开票单位税号(GYSSH$C_JXXP_ZYFPJJD_CB); 快递单号(KDDH); 备注(FPNR$C_JXXP_ZYFPJJD_CB); 是否费用报销生成(IsSFBXFP); 费用报销单据编号(XFPLY_DJBH); 成本分类(CBFL_CB); 本单是否为报销发票(SFBXFPS); 类型(LXS); 关联合同(GLHT); 数量(SL$C_JXXP_ZYFPJJD_CB),"项目名称(XMMC/Data); 输入开票单位(GYSMC$C_JXXP_ZYFPJJD_CB/Data); 开具时间(C_JXXP_ZYFPJJD_CB,KPRQ/Data); 单据编号(DJBH/Data); (Id/CustomSQL); 发票提供单位(C_JXXP_ZYFPJJD_CB,FPTGF/Data); 发票类型(C_JXXP_ZYFPJJD_CB,FPLX/Data); 合计金额(C_JXXP_ZYFPJJD_CB,HJJE/Data); 录入人(LRR/Data); 录入时间(LRSJ/Data); 发票公司类型(D_SCBSJS_FPGSLX/Data); 单据编号(DJBH1/Data); 发票公司类型(C_JXXP_ZYFPJJD_CB,D_SCBSJS_FPGSLX/Data)",74d6dde5e7664d5f98af94b49a38d2d6,d2013728263d4d2fbf01d0f92001f10a,lowcode_form_captured
43,发票税务,抵扣登记,captured,exact,税务/进项/抵扣登记,抵扣登记,LowCode/Form/FormList?ConfigId=9967dab3faf047ce8bf958c4204931f3,9967dab3faf047ce8bf958c4204931f3,List,C_JXXP_DKDJ_New,C_JXXP_DKDJ_CB,LRSJ desc,单据状态(DJZTText); 单据编号(DJBH); 是否转出(SFZC); 项目名称(XMMC); 开票单位(KPDW$C_JXXP_DKDJ_CB); 发票号(FPHM$C_JXXP_DKDJ_CB); 抵扣税额(DKSE$C_JXXP_DKDJ_CB); 抵扣总额(DKJE$C_JXXP_DKDJ_CB); 抵扣附加税(D_SCBSJS_DKFJS$C_JXXP_DKDJ_CB); 备注(BZ); 录入人(LRR); 单据日期(DJRQ),是否有效期内容(SFYXQNR); 附件(f_FJ); 录入时间(LRSJ),"单据编号(DJBH/Data); 项目名称(XMMC/Data); 单据日期(DJRQ/Data); 开票单位(C_JXXP_DKDJ_CB,KPDW/Data)",4445d143d08f4901ac7c593d6262896c,46056987a461480b8083e6e576d4b404,lowcode_form_captured
44,发票税务,外经证登记,captured,exact,税务/外经证/外经证登记,外经证登记,LowCode/Form/FormList?ConfigId=b859cea258a748c985fe800cfaa5270e,b859cea258a748c985fe800cfaa5270e,List,ZJGL_WJZ_WJZDJB,,pid desc,单据状态(DJZTText); 单据编号(DJBH); 项目名称(XMMC); 纳税人名称(NSRMC); 纳税人识别号(NSRSBH); 经办人手机(JBRSJ); 区域涉税事项联系人(QYSSSXLXR); 区域涉税事项联系人座机手机(QYSSSXLXRSJ); 跨区域经营地址(KQYJYDZ); 经营方式(JYFS); 合同名称(HTMC); 合同金额(HTJE); 合同开始日期(HTKSRQ); 合同结束日期(HTJSRQ); 合同相对方名称(HTXDFMC); 合同相对方名称编号(HTXDFMCNSRSBH); 跨区域涉税事项报验管理编号(KQYSSSXBYGLBH); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ),经办人座机(JBRZJ); 区域涉税事项联系人座机座机(QYSSSXLXRZJ); 合同编号(HTBH); 最新有效期止(ZXYXRQ); 填写人(TXR); 最新有效期起始(ZXYXRQQS); 经办人(JBR),单据编号(DJBH/Data); 单据日期(LRSJ/Data); 项目名称(XMMC/Data),62d7b063793c4a4fa6acd3fe54ffe0cc,c9c266e2a74a45fca0a98baa671ebcbd,lowcode_form_captured
45,成本报表,供货合同分析,custom_or_non_lowcode_link,exact,报表/成本报表/供货合同分析,供货合同分析,Custom/SCBS/Report_GHFXB_,,,,,,,,,,,custom_page_requires_separate_runtime_probe
46,成本报表,库存统计表（新）,report_config_id_captured,exact,报表/成本报表/库存统计表（新）,库存统计表（新）,LowCode/Report/ReportForm?ConfigId=b6977b9743334b6cb8f35dc5768e1a5e,b6977b9743334b6cb8f35dc5768e1a5e,,,,,,,,,,report_config_id_only_next_capture_report_schema
47,成本报表,账户收支统计表,report_config_id_captured,exact,报表/成本报表/账户收支统计表,账户收支统计表,LowCode/Report/ReportForm?ConfigId=868e20eb104b4847854d458a0232268e,868e20eb104b4847854d458a0232268e,,,,,,,,,,report_config_id_only_next_capture_report_schema
48,成本报表,成本统计表（综合）,report_config_id_captured,exact,报表/成本报表/成本统计表（综合）,成本统计表（综合）,LowCode/Report/ReportForm?ConfigId=ad8b30d6c2f145598232d835c631540f,ad8b30d6c2f145598232d835c631540f,,,,,,,,,,report_config_id_only_next_capture_report_schema
49,成本报表,投标保证金报表,report_config_id_captured,exact,报表/成本报表/投标保证金报表,投标保证金报表,LowCode/Report/ReportForm?ConfigId=2205259cb52c43b79cfe997ee1f4b643,2205259cb52c43b79cfe997ee1f4b643,,,,,,,,,,report_config_id_only_next_capture_report_schema
50,成本报表,发票成本进度报表,report_config_id_captured,exact,报表/成本报表/发票成本进度报表,发票成本进度报表,LowCode/Report/ReportForm?ConfigId=0b44ca60c88a4845b8f489b346896853,0b44ca60c88a4845b8f489b346896853,,,,,,,,,,report_config_id_only_next_capture_report_schema
51,成本报表,发票分析报表,report_config_id_captured,exact,报表/成本报表/发票分析报表,发票分析报表,LowCode/Report/ReportForm?ConfigId=0c3c8434fff54c9e80fb3e483c318150,0c3c8434fff54c9e80fb3e483c318150,,,,,,,,,,report_config_id_only_next_capture_report_schema
52,财税报表,项目经营统计表,report_config_id_captured,exact,报表/财税报表/项目经营统计表,项目经营统计表,LowCode/Report/ReportForm?ConfigId=c901291a239649bf8e93e91255fc86b4,c901291a239649bf8e93e91255fc86b4,,,,,,,,,,report_config_id_only_next_capture_report_schema
53,财税报表,应收应付报表,report_config_id_captured,exact,报表/财税报表/应收应付报表,应收应付报表,LowCode/Report/ReportForm?ConfigId=87f061c0258145239daa5bb639a4cfb3,87f061c0258145239daa5bb639a4cfb3,,,,,,,,,,report_config_id_only_next_capture_report_schema
54,分析大屏,成本大屏,menu_without_link,missing,报表/分析大屏/成本大屏,成本大屏,,,,,,,,,,,,menu_group_or_dashboard_without_direct_link
55,分析大屏,经营大屏,menu_without_link,missing,报表/分析大屏/经营大屏,经营大屏,,,,,,,,,,,,menu_group_or_dashboard_without_direct_link
